id,student_id,class_count,amount,receipt_url,receipt_key,payment_date,confirmed_by,status,notes,created_at,updated_at
16,20,48,0.00,NULL,NULL,2024-09-08 00:00:00,admin_approved,confirmed,2024-09-08~目前 期間已付款（系統補錄，48堂）,2026-02-21 19:09:10,2026-02-21 19:09:10
17,21,48,0.00,NULL,NULL,2024-09-08 00:00:00,admin_approved,confirmed,2024-09-08~目前 期間已付款（系統補錄，48堂）,2026-02-21 19:09:10,2026-02-21 19:09:10
18,1,36,0.00,NULL,NULL,2025-03-23 00:00:00,admin_approved,confirmed,2025-03-23~目前 期間已付款（系統補錄，36堂）,2026-02-21 19:09:10,2026-02-21 19:09:10
19,3,24,4800.00,NULL,NULL,2024-10-27 00:00:00,admin_approved,confirmed,2025/7/27為已付第2堂循環，#24後需付款 (24堂=2×12循環),2026-02-21 19:09:10,2026-02-22 12:05:15
20,41,12,2400.00,NULL,NULL,2025-02-23 00:00:00,admin_approved,confirmed,2025/2/16起為已付第1堂循環，#12後需付款 (12堂=1×12循環),2026-02-21 19:09:10,2026-02-22 12:06:22
21,42,60,12000.00,NULL,NULL,2024-03-03 00:00:00,admin_approved,confirmed,2025/8/24為已付第1堂循環，#60後需付款 (60堂=5×12循環),2026-02-21 19:09:10,2026-02-22 12:05:49
22,43,60,12000.00,NULL,NULL,2024-03-03 00:00:00,admin_approved,confirmed,2025/8/17為已付第9堂循環，#60後需付款 (60堂=5×12循環),2026-02-21 19:09:10,2026-02-22 12:05:57
23,2,36,7200.00,NULL,NULL,2024-09-22 00:00:00,admin_approved,confirmed,2025/6/29為已付第5堂循環，#36後需付款 (36堂=3×12循環),2026-02-21 19:09:10,2026-02-22 12:05:30
24,9,48,0.00,NULL,NULL,2024-10-27 00:00:00,admin_approved,confirmed,2024-10-27~目前 期間已付款（系統補錄，48堂）,2026-02-21 19:09:10,2026-02-21 19:09:10
27,22,48,0.00,NULL,NULL,2025-01-25 00:00:00,admin_approved,confirmed,2025-01-25~目前 期間已付款（系統補錄，48堂）,2026-02-21 19:09:10,2026-02-21 19:09:10
28,8,84,0.00,NULL,NULL,2024-03-17 00:00:00,admin_approved,confirmed,2024-03-17~目前 期間已付款（系統補錄，84堂）,2026-02-21 19:09:10,2026-02-21 19:09:10
30,7,24,0.00,NULL,NULL,2025-02-26 00:00:00,admin_approved,confirmed,2025-02-26~目前 期間已付款（系統補錄，24堂）,2026-02-21 19:09:10,2026-02-21 19:09:10
31,44,48,0.00,NULL,NULL,2025-02-22 00:00:00,admin_approved,confirmed,2025-02-22~目前 期間已付款（系統補錄，48堂）,2026-02-21 19:09:10,2026-02-21 19:09:10
32,45,24,0.00,NULL,NULL,2025-08-10 00:00:00,admin_approved,confirmed,2025-08-10~目前 期間已付款（系統補錄，24堂）,2026-02-21 19:09:10,2026-02-21 19:09:10
33,46,24,0.00,NULL,NULL,2025-08-31 00:00:00,admin_approved,confirmed,2025-08-31~目前 期間已付款（系統補錄，24堂）,2026-02-21 19:09:10,2026-02-21 19:09:10
34,25,84,16800.00,NULL,NULL,2025-07-27 00:00:00,admin_approved,confirmed,2025/7/27前視為已付款 (84堂=7×12循環),2026-02-21 19:15:29,2026-02-21 19:16:54
35,26,96,19200.00,NULL,NULL,2025-06-22 00:00:00,admin_approved,confirmed,2025/6/22前視為已付款 (96堂=8×12循環),2026-02-21 19:15:29,2026-02-21 19:16:54
36,11,60,12000.00,NULL,NULL,2024-12-22 00:00:00,admin_approved,confirmed,2025/1/5前視為已付款 (60堂=5×12循環)，2025/1/5起需付款,2026-02-21 19:15:29,2026-02-22 11:41:29
37,30,72,14400.00,NULL,NULL,2025-01-05 00:00:00,admin_approved,confirmed,2025/1/5前視為已付款 (72堂=6×12循環),2026-02-21 19:15:29,2026-02-21 19:16:54
38,36,84,16800.00,NULL,NULL,2026-01-04 00:00:00,admin_approved,confirmed,2026/1/4前視為已付款 (84堂=7×12循環),2026-02-21 19:15:29,2026-02-21 19:16:54
39,4,24,4800.00,NULL,NULL,2025-08-10 00:00:00,admin_approved,confirmed,2025/8/10前視為已付款 (24堂=2×12循環),2026-02-21 19:15:29,2026-02-21 19:16:54
40,5,24,4800.00,NULL,NULL,2025-08-10 00:00:00,admin_approved,confirmed,2025/8/10前視為已付款 (24堂=2×12循環),2026-02-21 19:15:29,2026-02-21 19:16:54
41,17,12,2400.00,NULL,NULL,2026-01-04 00:00:00,admin_approved,confirmed,2026/1/4前視為已付款 (12堂=1×12循環),2026-02-21 19:15:29,2026-02-21 19:16:54
42,38,48,9600.00,NULL,NULL,2025-07-27 00:00:00,admin_approved,confirmed,2025/7/27為已付第1堂循環，#48後需付款 (48堂=4×12循環),2026-02-22 12:06:39,2026-02-22 12:46:35
43,10,48,9600.00,NULL,NULL,2026-01-11 00:00:00,admin_approved,confirmed,2026/1/11為已付第1堂循環，#48後需付款 (48堂=4×12循環),2026-02-22 12:06:50,2026-02-22 12:47:18
44,6,99999,0.00,NULL,NULL,2026-02-22 18:03:28,admin_approved,confirmed,免學費,2026-02-22 18:03:28,2026-02-22 18:03:28
45,29,99999,0.00,NULL,NULL,2026-02-22 18:03:28,admin_approved,confirmed,免學費,2026-02-22 18:03:28,2026-02-22 18:03:28
46,56,99999,0.00,NULL,NULL,2026-02-22 18:03:28,admin_approved,confirmed,免學費,2026-02-22 18:03:28,2026-02-22 18:03:28
47,58,99999,0.00,NULL,NULL,2026-02-22 18:03:28,admin_approved,confirmed,免學費,2026-02-22 18:03:28,2026-02-22 18:03:28
48,61,99999,0.00,NULL,NULL,2026-02-22 18:03:28,admin_approved,confirmed,免學費,2026-02-22 18:03:28,2026-02-22 18:03:28
49,53,12,2400.00,NULL,NULL,2025-02-23 00:00:00,admin_approved,confirmed,2025/2/23為已付第1堂循環，#12後需付款,2026-02-22 18:06:12,2026-02-22 18:06:12
50,54,12,2400.00,NULL,NULL,2025-02-23 00:00:00,admin_approved,confirmed,2025/2/23為已付第1堂循環，#12後需付款,2026-02-22 18:06:12,2026-02-22 18:06:12
51,55,12,2400.00,NULL,NULL,2025-07-06 00:00:00,admin_approved,confirmed,2025/7/6為已付第1堂循環，#12後需付款,2026-02-22 18:06:12,2026-02-22 18:06:12
52,57,12,2400.00,NULL,NULL,2025-03-02 00:00:00,admin_approved,confirmed,2025/3/2為已付第1堂循環，#12後需付款,2026-02-22 18:06:12,2026-02-22 18:06:12
53,59,144,28800.00,NULL,NULL,2025-10-05 00:00:00,admin_approved,confirmed,2025/10/5為已付第1堂循環，#144後需付款 (12×12循環),2026-02-22 18:06:12,2026-02-22 18:06:12
54,60,12,2400.00,NULL,NULL,2025-10-26 00:00:00,admin_approved,confirmed,2025/10/26為已付第1堂循環，#12後需付款,2026-02-22 18:06:12,2026-02-22 18:06:12
55,62,12,2400.00,NULL,NULL,2025-11-09 00:00:00,admin_approved,confirmed,2025/11/9為已付第1堂循環，#12後需付款,2026-02-22 18:06:12,2026-02-22 18:06:12
56,65,12,2400.00,NULL,NULL,2025-10-05 00:00:00,admin_approved,confirmed,2025/10/5為已付第1堂循環，#12後需付款,2026-02-22 18:06:12,2026-02-22 18:06:12
57,66,12,2400.00,NULL,NULL,2025-02-16 00:00:00,admin_approved,confirmed,2025/2/16為已付第1堂循環，#12後需付款,2026-02-22 18:06:12,2026-02-22 18:06:12
58,69,12,2400.00,NULL,NULL,2025-02-16 00:00:00,admin_approved,confirmed,2025/2/16為已付第1堂循環，#12後需付款,2026-02-22 18:06:12,2026-02-22 18:06:12
59,75,12,2400.00,NULL,NULL,2025-11-02 00:00:00,admin_approved,confirmed,2025/11/2為已付第1堂循環，#12後需付款,2026-02-22 18:06:12,2026-02-22 18:06:12
60,76,12,2400.00,NULL,NULL,2026-01-18 00:00:00,admin_approved,confirmed,2026/1/18為已付第1堂循環，#12後需付款 (12堂=1×12循環),2026-02-22 18:06:12,2026-02-22 18:16:12
61,77,12,2400.00,NULL,NULL,2025-07-06 00:00:00,admin_approved,confirmed,2025/7/6為已付第1堂循環，#12後需付款,2026-02-22 18:06:12,2026-02-22 18:06:12
62,12,60,12000.00,NULL,NULL,2025-06-22 00:00:00,admin_approved,confirmed,2025/6/22付12堂(循環#49-#60)，#60後需付款 (60堂=5×12循環),2026-02-22 18:06:55,2026-02-22 18:06:55
63,14,24,4800.00,NULL,NULL,2024-12-08 00:00:00,admin_approved,confirmed,2024/12/9付12堂(循環#13-#24)，#24後需付款 (24堂=2×12循環),2026-02-22 18:07:16,2026-02-22 18:07:16
64,33,96,14400.00,NULL,NULL,2025-08-17 00:00:00,admin_approved,confirmed,2025/8/17為第1堂，已付6堂學費(半循環)，循環#85-#96，#96後需付款 (96堂=8×12循環),2026-02-22 18:07:47,2026-02-22 18:07:47
65,34,96,14400.00,NULL,NULL,2025-08-17 00:00:00,admin_approved,confirmed,2025/8/17為第1堂，已付6堂學費(半循環)，循環#85-#96，#96後需付款 (96堂=8×12循環),2026-02-22 18:08:11,2026-02-22 18:08:11
66,68,12,2400.00,NULL,NULL,2026-02-22 18:08:20,admin_approved,confirmed,這一期已付款(循環#1-#12)，#12後需付款,2026-02-22 18:08:20,2026-02-22 18:08:20
67,71,12,2400.00,NULL,NULL,2026-02-22 18:08:20,admin_approved,confirmed,這一期已付款(循環#1-#12)，#12後需付款,2026-02-22 18:08:20,2026-02-22 18:08:20
68,70,12,2400.00,NULL,NULL,2025-11-09 00:00:00,admin_approved,confirmed,2026/2/8為已付第7堂，第1堂=2025/11/9，循環#1-#12，#12後需付款,2026-02-22 18:08:42,2026-02-22 18:19:12
69,16,0,0.00,NULL,NULL,2024-09-08 00:00:00,admin_approved,confirmed,2024/9/7起未付款,2026-02-22 18:09:35,2026-02-22 18:09:35
70,47,0,0.00,NULL,NULL,2025-10-19 00:00:00,admin_approved,confirmed,2025/10/19起未付款,2026-02-22 18:09:35,2026-02-22 18:09:35
71,49,0,0.00,NULL,NULL,2024-08-18 00:00:00,admin_approved,confirmed,2024/8/19加入，未付款,2026-02-22 18:09:35,2026-02-22 18:09:35
72,74,0,0.00,NULL,NULL,2025-03-09 00:00:00,admin_approved,confirmed,未付款,2026-02-22 18:09:35,2026-02-22 18:09:35
73,29,12,0.00,NULL,NULL,2026-02-23 19:37:46,admin_approved,confirmed,NULL,2026-02-23 19:37:46,2026-02-23 19:37:46
74,29,12,0.00,NULL,NULL,2026-02-23 19:37:55,admin_approved,confirmed,NULL,2026-02-23 19:37:55,2026-02-23 19:37:55
